text,created_at,lang
 caglarakgll Ateistiz ama bazen yapıyoruz böyle şeyler ,Sun May 28 07:24:12 +0000 2017 ,tr 
RT  gianluici  Allah da faiz haram diyor orucu bozunca  6000 faiz kitliyor ,Sat May 27 14:02:04 +0000 2017 ,tr 
Naber kapalı kız parklarda bahçelerde gizli gizli oynaşıp wp durumuna Kün fe yekün yazmaya devam mı ,Sat May 27 11:49:48 +0000 2017 ,tr 
Arkadaşlar çok özlüyorum arkadaşlar ,Sat May 27 11:35:43 +0000 2017 ,tr 
Adama saçımı mavi mi yapsam mor mu yoksa kızıl mı diyorum gri diyor        ,Sat May 27 11:34:25 +0000 2017 ,tr 
RT  muzolirizm  11 ayın sultanı ramazan için yazdığım epik şiir  ,Sat May 27 10:18:02 +0000 2017 ,tr 
BU SABAHLARIN BİR ANLAMI OLMALI ,Sat May 27 08:44:30 +0000 2017 ,tr 
RT  nrsnyldrm  Çocuklarına tecavüz edilmesine ses çıkaramayan ülke insanı  ramazan ayında sokakta sigara içerseniz sizi linç eder  Dikkat e… ,Fri May 26 21:29:31 +0000 2017 ,tr 
Canım sen düzenli olarak her gün sevgilinle fotoğraf atıyorsun ya bizde düzenli olarak her gün sana sövüyoruz bil istedim ,Fri May 26 19:38:32 +0000 2017 ,tr 
Bazı insanlara bu kadar gerizekalı olmak için çaba gösteriyor musun diye sorasım geliyor ,Fri May 26 19:36:44 +0000 2017 ,tr 
HALİMDEN BİLMİYOR BEN O YÂRİ NEYLEYİM     ,Fri May 26 19:33:14 +0000 2017 ,tr 
Balkonda oturduk çay eşliğinde gesi bağlarını söylüyoruz harika ,Fri May 26 19:11:05 +0000 2017 ,tr 
Ben bu içine atma işini fazla abarttım galiba arkadaşlar ,Fri May 26 19:09:52 +0000 2017 ,tr 
Moralimi bozacak bir şey söyler de üzülürüm diye deli gibi aramak istediğin kişiyi arayamamak    ,Fri May 26 19:08:34 +0000 2017 ,tr 
Serseri olmaya karar verdim ,Fri May 26 19:07:12 +0000 2017 ,tr 
Canım eski sevgilim benimle dedikodusunu yaptığın o kızla sevgili olacağını biliyordum orospu çocuğu ,Fri May 26 19:06:59 +0000 2017 ,tr 
Ben o yiyip yiyip kilo almayan kızlardanım kıskanın sürtükler          ,Thu May 25 20:43:30 +0000 2017 ,tr 
O değil de başı kapalı olup ayağına file çorap giyen kızlar siz ne demek istediniz anlamadım ben     ,Thu May 25 20:42:29 +0000 2017 ,tr 
RT  disloyaltyy  kanka bana bakıyo mu kanka baksana kanka napıyon kanka çaktırmadan bak dedik kanka amına koyim kanka siktirgit ,Thu May 25 19:34:03 +0000 2017 ,tr 
Misafirliğe gittiğimiz evdeki küçük kız çocuğu hiç sırnaşma seninle oynamıycam 🙄 ,Thu May 25 18:10:42 +0000 2017 ,tr 
Bugün anneme ben evlendim deyip telefonu kapattım  seni psikoloğa götüreyim mi diye mesaj atmış AHSJDKDKDKDKFKDKDNDJDJSHAHAHAHSHS ,Thu May 25 18:02:41 +0000 2017 ,tr 
RT  nrsnyldrm  Bağırın ulan İzmir in dağlarında  Samsun un Bafra sında  Konya nın ovasında amına koyayım ne kadar Atatürk düşmanı varsa  ,Thu May 25 15:50:15 +0000 2017 ,tr 
Sigara içiyorum dumanından rahatsız oluyorum fak ,Thu May 25 14:15:02 +0000 2017 ,tr 
Yine  naapsak yeaa çok sıkıldım  saatlerine geldik    ,Thu May 25 14:00:54 +0000 2017 ,tr 
Büşra mor saçlarına bakıp mutlu oluyor peki ben neye bakıp mutlu olcam fuck ,Thu May 25 13:55:56 +0000 2017 ,tr 
Sıcak bir şey yiyip ağzım yandığında bile Büşra ya üfletiyorum ulan bğşra sen olmasan napardım ,Thu May 25 13:51:45 +0000 2017 ,tr 
Büşranın ciddi ciddi finansal kölesi var inanamıyorum arkadaşlar ,Thu May 25 13:48:51 +0000 2017 ,tr 
Çağlar bana durup dururken  sen çok akıllı bir kızsın ya  dedi ölüyorum da bana mı söylemiyorsunuz noluyor amk ,Thu May 25 13:48:08 +0000 2017 ,tr 
Kızım omuz atmak nedir varoş musun ayol ,Thu May 25 13:33:45 +0000 2017 ,tr 
Vakıfın bayırından geçerken kendimi tren gibi hissediyorum arkdslr    ,Thu May 25 13:23:34 +0000 2017 ,tr 
Bazı kızlar da çok  anladık sevgilin var amk  ,Thu May 25 13:22:22 +0000 2017 ,tr 
Bazı erkekler çok  anladık araban var amk  ,Thu May 25 13:21:48 +0000 2017 ,tr 
Karşı masadaki çocuk niye burnumu silerken bana bakıyon oç ,Thu May 25 12:04:39 +0000 2017 ,tr 
Yine saçımı maşa yapayım derken gelinin kız kardeşine döndüm fak ,Thu May 25 11:14:26 +0000 2017 ,tr 
Demek sevgilin sana kalpli balon aldı ve çok mutlu oldun çünkü gerizekalısın ,Wed May 24 19:49:59 +0000 2017 ,tr 
Millet sinirlenince arabasına binip deniz kenarına gider biz varsa yoksa oda dağıt ,Wed May 24 15:26:56 +0000 2017 ,tr 
Gecenin 4 ünde çubuk kraker yedirecek bir şey var     ,Wed May 24 01:07:02 +0000 2017 ,tr 
Ya benim uykumu kim çaldı ,Wed May 24 01:05:28 +0000 2017 ,tr 
Niksar a döndüğüm iyi oldu yurtta elinde çiçekle gezen kızları görmekten bıkmıştım zaten🙄 ,Tue May 23 19:51:51 +0000 2017 ,tr 
Liselilerin mezuniyet videolarını görmekten bıktım artık yether  sözüm meclisten dışarı  ,Tue May 23 19:23:18 +0000 2017 ,tr 
Hani otobüsle giderken kafanı cama koyuyorsun ve tıktıktıktık oluyor ya iğrenç değil mi ,Tue May 23 15:18:54 +0000 2017 ,tr 
Kısık sesle çalan müzik bende baş ağrısı yapıyor canım fuck ,Tue May 23 14:43:32 +0000 2017 ,tr 
Hayatımda hiçbir şeyden  müziğin sesini kıs  cümlesi kadar nefret etmedim ,Tue May 23 14:43:04 +0000 2017 ,tr 
1 deki otobüse yer ayırtıp 5 deki otobüse zor yetişen ben    ,Tue May 23 14:31:10 +0000 2017 ,tr 
Bide cam kenarı benim kavgası yapıyor çirkef ,Tue May 23 14:25:04 +0000 2017 ,tr 
Of yine otobüste seydiyle karşılaştım bıktım bu çocuktan ,Tue May 23 14:24:53 +0000 2017 ,tr 
Sivas la işim bitiğine göre ilk tivitimi atabilirim selamın aleyküm ben geldim ,Tue May 23 14:24:21 +0000 2017 ,tr 
