,0,1
1468,tutması,1
1469,kalsanız,1
1470,PAŞA,1
1471,aleyküm,1
1472,kalıyor,1
1473,olduğum,1
1474,verin,1
1475,götüreyim,1
1476,problem,1
1477,ulaşılması,1
1478,otururken,1
1479,sardı,1
1480,yakasına,1
1481,darlayıp,1
1482,hızlı,1
1483,sabaha,1
1484,İşine,1
1485,Seni,1
1486,aldığı,1
1487,kadınlardan,1
1488,Haziran,1
1489,aşk,1
1490,anneme,1
1491,linç,1
1492,düşürmem,1
1493,bacağımı,1
1494,ettin,1
1495,Aforizma,1
1496,İnsanları,1
1497,Her,1
1498,action,1
1499,kediyiimben,1
1500,naptın,1
1501,oldum,1
1502,Bende,1
1503,bilgisayar,1
1504,konuşma,1
1505,Sanırım,1
1506,birde,1
1507,kızıl,1
1508,bazıları,1
1509,satın,1
1510,Onlar,1
1511,evlendim,1
1512,Kadınları,1
1513,basmıyor,1
1514,atıyorsun,1
1515,yurtta,1
1516,saatlerine,1
1517,kenarına,1
1518,olucam,1
1519,doyamıyorum,1
1520,atsam,1
1521,BEN,1
1522,yarar,1
1523,çalıştım,1
1524,nöbeti,1
1525,sözüm,1
1526,nesin,1
1527,günaydın,1
1528,olcam,1
1529,binip,1
1530,memeni,1
1531,ateist,1
1532,Sevdiğim,1
1533,Tatlım,1
1534,başladım,1
1535,sakin,1
1536,BİRAZ,1
1537,bedriye,1
1538,eril,1
1539,boşuna,1
1540,evdeki,1
1541,ediyor,1
1542,vakit,1
1543,sanmışsın,1
1544,Kendinizi,1
1545,takıp,1
1546,yaşasam,1
1547,senden,1
1548,dikkat,1
1549,güldürmek,1
1550,kenarinda,1
1551,yedirecek,1
1552,sandım,1
1553,öğreteceğim,1
1554,saat,1
1555,utandırıyor,1
1556,notlar,1
1557,poşet,1
1558,izin,1
1559,gelirse,1
1560,fiyakalı,1
1561,kalabiliyorum,1
1562,günkü,1
1563,kendimi,1
1564,ayolll,1
1565,kölesi,1
1566,kaldır,1
1567,LeydiBerra,1
1568,hoşuma,1
1569,hata,1
1570,gösteriyorum,1
1571,kaldırımlarda,1
1572,sigarayı,1
1573,hayatında,1
1574,kültürlüsünüz,1
1575,gelinin,1
1576,arkdslr,1
1577,sevdikten,1
1578,diyen,1
1579,oluyorsunuz,1
1580,Genelevler,1
1581,İyi,1
1582,ZAFERİM,1
1583,çubuk,1
1584,cennet,1
1585,AMK,1
1586,Ateist,1
1587,koala,1
1588,41,1
1589,tatili,1
1590,19,1
1591,reyonundan,1
1592,kuyum,1
1593,ölsen,1
1594,şekli,1
1595,acaba,1
1596,Anne,1
1597,geçireyim,1
1598,Karşı,1
1599,görüyorsanız,1
1600,EDERİM,1
1601,Beyefendi,1
1602,etrafımdaki,1
1603,istemiyorum,1
1604,araaaamazsaan,1
1605,gıcık,1
1606,koyduğu,1
1607,yavşaklardan,1
1608,burnumu,1
1609,yarattığı,1
1610,isterseniz,1
1611,yer,1
1612,biriniz,1
1613,nereye,1
1614,Yaşasın,1
1615,bilgili,1
1616,HARMAN,1
1617,biriyle,1
1618,saattir,1
1619,İnanç,1
1620,yeaa,1
1621,yapıyorsunuz,1
1622,korkusu,1
1623,kimsin,1
1624,yaratmadığını,1
1625,Bazılarınızı,1
1626,yether,1
1627,uyuz,1
1628,şükürler,1
1629,kovalansın,1
1630,ANLAMI,1
1631,adamın,1
1632,Hissedeceksiniz,1
1633,yara,1
1634,lütfen,1
1635,Sigara,1
